"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"572"	6	572	2	1	"Genetic"
"573"	7	573	2	0	"Genetic"
"574"	7	574	2	0	"Genetic"
"575"	7	575	2	0	"Genetic"
"576"	7	576	2	0	"Genetic"
"577"	7	577	2	0	"Genetic"
"578"	8	578	2	0	"Genetic"
"579"	8	579	2	0	"Genetic"
"580"	8	580	2	0	"Genetic"
"581"	8	581	2	0	"Genetic"
"582"	8	582	2	0	"Genetic"
"583"	8	583	2	0	"Genetic"
"584"	8	584	2	0	"Genetic"
"585"	8	585	2	0	"Genetic"
"586"	8	586	2	0	"Genetic"
"587"	8	587	2	0	"Genetic"
"588"	8	588	2	0	"Genetic"
"589"	9	589	2	0	"Genetic"
"590"	17	590	2	0	"Genetic"
"591"	20	591	2	1	"Genetic"
"592"	25	592	2	1	"Genetic"
"593"	29	593	2	0	"Genetic"
"594"	29	594	2	0	"Genetic"
"595"	30	595	2	0	"Genetic"
"596"	32	596	2	0	"Genetic"
"597"	32	597	2	0	"Genetic"
"598"	32	598	2	0	"Genetic"
"599"	32	599	2	0	"Genetic"
"600"	32	600	2	1	"Genetic"
"601"	33	601	2	1	"Genetic"
"602"	37	602	2	1	"Genetic"
"603"	38	603	2	1	"Genetic"
"604"	40	604	2	1	"Genetic"
"605"	41	605	2	0	"Genetic"
"606"	41	606	2	0	"Genetic"
"607"	41	607	2	0	"Genetic"
"608"	41	608	2	0	"Genetic"
"609"	41	609	2	0	"Genetic"
"610"	44	610	2	0	"Genetic"
"611"	44	611	2	0	"Genetic"
"612"	48	612	2	1	"Genetic"
"613"	51	613	2	0	"Genetic"
"614"	52	614	2	0	"Genetic"
"615"	52	615	2	0	"Genetic"
"616"	52	616	2	0	"Genetic"
"617"	52	617	2	0	"Genetic"
"618"	53	618	2	0	"Genetic"
"619"	54	619	2	0	"Genetic"
"620"	55	620	2	0	"Genetic"
"621"	55	621	2	1	"Genetic"
"622"	55	622	2	0	"Genetic"
"623"	56	623	2	0	"Genetic"
"624"	58	624	2	1	"Genetic"
"625"	60	625	2	0	"Genetic"
"626"	60	626	2	0	"Genetic"
"627"	63	627	2	0	"Genetic"
"628"	70	628	2	1	"Genetic"
